Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"Feb 11, 2026, 1:41:37 AM",Morning Run,3.38,39.78,11.78,143.9,176,3.38,33.3,9.85,145.0,176.0,2.0,319.0,3.38,39.78,11.78,143.9,176,91,9.8,19.1,33.2,26.4,11.5,41.6,48.8,166.0,,False,False,False,True,False,False
"Feb 10, 2026, 1:43:05 AM",Morning Run,5.4,45.35,8.41,150.3,171,5.39,45.35,8.41,150.0,171.0,29.0,493.0,5.4,45.35,8.41,150.3,171,112,0.2,1.5,61.0,36.9,0.4,79.4,74.4,174.0,,False,False,False,False,False,False
"Feb 8, 2026, 2:31:50 AM",Burj 2 Burj 2026,13.18,94.7,7.18,171.7,175,13.18,94.7,7.19,172.0,175.0,48.0,1191.0,13.18,94.7,7.18,171.7,175,126,0.0,0.2,0.3,13.1,86.3,128.4,130.4,178.8,,False,True,False,False,False,False
"Feb 7, 2026, 3:13:56 AM",Morning Run,3.68,36.9,10.02,138.1,151,3.68,34.42,9.35,138.0,151.0,9.0,344.0,3.68,36.9,10.02,138.1,151,84,3.2,7.1,89.7,0.0,0.0,40.0,44.8,172.4,,False,False,False,True,False,False
"Feb 5, 2026, 7:02:09 AM",Lunch Run,5.42,44.77,8.27,148.2,174,5.42,44.77,8.26,148.0,174.0,0.0,467.0,5.42,44.77,8.27,148.2,174,77,0.8,21.8,22.4,54.1,0.9,0,0,174.7,,False,False,False,False,False,False
"Feb 3, 2026, 7:45:51 AM",Lunch Run,2.03,18.7,9.21,149.7,172,2.03,17.57,8.66,148.0,172.0,0.0,184.0,2.03,18.7,9.21,149.7,172,87,2.2,16.9,32.7,35.9,12.4,0,0,172.9,,False,False,False,True,False,False
"Feb 3, 2026, 2:16:10 AM",Morning Run,2.74,24.58,8.97,158.8,179,2.74,21.8,7.96,161.0,179.0,6.0,275.0,2.74,24.58,8.97,158.8,179,93,0.8,13.8,16.1,23.8,45.5,36.2,34.0,171.4,,False,False,False,False,False,False
"Feb 3, 2026, 2:05:30 AM",Morning Run,0.61,5.87,9.66,135.3,149,0.61,5.87,9.62,135.0,149.0,9.0,58.0,0.61,5.87,9.66,135.3,149,81,7.9,16.7,75.4,0.0,0.0,12.8,2.0,171.0,,False,False,False,True,False,False
"Feb 1, 2026, 4:03:37 AM",Dubai Marathon 10k,6.25,44.28,7.08,173.2,181,6.25,44.28,7.08,173.0,181.0,11.0,563.0,6.25,44.28,7.08,173.2,181,125,0.0,0.5,1.1,17.8,80.6,61.2,73.6,179.9,,False,True,False,False,False,False
"Feb 1, 2026, 3:26:42 AM",Morning Run,0.63,9.35,14.95,111.1,133,0.62,8.77,14.15,112.0,133.0,13.0,59.0,0.63,9.35,14.95,111.1,133,80,54.1,43.4,2.5,0.0,0.0,19.2,9.6,145.4,,False,False,False,True,False,False
